,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
43,6.72,6.3,3.99,5.46,3.99,5.46,3.15,4.557,4.2,5.04,5.46,7.224,7.14,7.35,8.4,7.77,8.4,7.455,7.623,7.056,6.594,6.825,6.615,6.678,5.796,6.51,6.468,6.552,5.796,5.817,6.51,20.055,21.525,20.832,23.688,23.1,22.785,9.66,8.925,7.35,6.825,7.917,7.413,6.657,6.51,7.119,6.72,6.426
44,7.14,8.064,7.56,5.355,5.25,5.355,5.04,5.25,5.145,5.355,5.46,7.35,7.77,9.219,9.324,8.547,8.442,8.442,7.392,7.665,6.447,6.3,6.09,5.712,5.25,5.46,5.838,5.838,5.838,4.62,5.964,18.627,19.74,19.53,20.79,21.42,20.58,8.148,7.56,7.434,6.93,6.51,6.3,5.817,5.229,7.7805,6.111,5.229
45,6.09,6.069,4.2,4.2,3.78,4.2,3.192,4.284,3.78,4.2,4.2,4.2,5.124,4.83,5.544,5.88,6.678,7.14,7.896,8.064,7.56,7.812,7.476,7.854,7.35,7.6335,6.72,6.72,6.468,4.683,4.872,18.9,21.84,20.853,23.94,23.94,22.05,9.261,6.72,6.72,6.132,6.195,5.439,4.2,3.36,2.604,0.84,1.575
46,1.575,1.974,0.63,-1.68,-2.1,-2.1,-3.192,-2.94,-2.94,-2.31,-2.1,0.63,1.701,1.575,2.1,1.68,5.67,4.473,6.888,7.392,7.728,7.14,7.392,7.728,7.56,7.308,6.678,6.951,6.321,4.305,5.208,19.32,21.42,22.89,23.562,23.52,22.05,9.576,8.211,7.728,5.88,7.35,4.2,4.704,1.89,2.016,1.68,2.016
47,2.31,2.352,1.848,1.008,0.84,1.05,1.008,1.344,1.512,2.016,3.57,5.04,7.14,6.195,7.3185,7.728,8.064,8.106,7.98,7.35,6.888,7.203,7.014,7.266,7.098,6.384,6.216,6.216,5.88,5.25,6.216,19.32,20.16,20.601,22.176,22.68,22.344,9.24,8.4,7.728,6.72,7.56,5.586,5.145,3.36,4.83,3.444,3.15
48,5.04,4.662,2.31,1.68,1.68,1.743,1.05,2.6565,2.94,3.948,6.363,6.51,6.468,6.993,7.98,7.581,8.61,9.072,8.19,7.098,6.111,6.3,6.3,6.993,7.308,6.993,6.216,6.972,5.67,5.922,6.51,18.9,20.181,19.95,22.722,22.491,21.882,8.652,8.316,8.064,7.035,7.56,6.3,5.964,4.83,4.2,3.78,3.78
49,4.2,3.801,3.36,3.57,3.57,4.536,3.57,4.2,4.41,5.04,6.93,6.72,6.468,7.035,7.14,7.812,8.358,8.4,8.4,8.169,7.77,8.442,7.9905,8.61,7.665,7.518,6.93,6.993,6.51,6.321,6.72,18.942,19.698,19.95,22.05,21.567,21.0,8.19,7.56,7.56,7.056,7.098,6.93,6.72,4.62,5.88,4.62,4.2
50,6.573,5.901,4.2,4.095,4.2,5.04,4.011,4.2,5.04,5.649,6.09,6.51,6.72,7.14,7.917,6.867,7.56,7.959,7.434,7.56,7.161,7.77,7.959,7.98,7.35,6.93,6.678,6.72,6.09,5.376,6.3,19.11,19.95,20.055,22.617,22.617,21.924,9.534,7.98,7.56,6.867,7.014,6.909,6.468,4.2,6.006,4.41,4.2
51,6.237,5.544,3.36,4.368,3.36,3.969,1.869,3.99,3.969,4.2,6.426,6.72,7.602,6.93,7.266,7.35,7.896,8.4,7.518,7.161,6.72,7.14,7.455,7.707,7.497,7.266,6.657,6.552,6.3,5.628,6.51,19.53,19.95,20.139,22.68,22.638,21.798,8.316,8.19,8.61,6.8775,7.56,6.3,6.72,4.977,6.3,4.41,4.2
52,5.04,5.46,3.36,3.99,3.36,3.78,2.94,2.52,2.52,2.94,3.906,3.36,4.578,5.04,5.04,5.88,6.909,7.35,7.56,8.19,7.812,7.413,6.972,7.413,6.3,6.72,6.3,6.3,6.3,6.3,7.308,19.53,21.42,20.79,22.365,22.68,22.323,9.408,8.274,8.4,7.308,8.967,7.14,6.132,4.242,8.169,5.628,4.809
